vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000321, free_path: 0.000321, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000040, free_path: 0.000040, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.001427, free_path: 0.001427, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.001910, free_path: 0.001910, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000249, free_path: 0.000249, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.001627, free_path: 0.001627, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000182, free_path: 0.000182, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000121, free_path: 0.000121, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.000506, free_path: 0.000506, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

remaining_dist: 0.001406, free_path: 0.001406, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: -4.00, next_acceleration: -4.00

Exiting.
